,Rooms,Floor,TotalFloor,KitchenArea,LivingArea,TotalArea,WaterHeatType,Price,LocNum,OfferType_від власника,OfferType_від посередника,OfferType_від представника господаря (без комісійних),Walls_блочно-кирпичный,Walls_газоблок,Walls_железобетон,Walls_керамзитобетон,Walls_монолитно-каркасный,Walls_монолитно-кирпичный,Walls_монолитный железобетон,Walls_моноліт,Walls_монолітно-блоковий,Walls_панель,Walls_піноблок,Walls_силікатна цегла,Walls_цегла
311,1.0,2.0,10.0,9.0,19.0,42.0,False,8.853808274977197,5167.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
312,2.0,9.0,24.0,13.0,32.0,65.0,False,10.146316077166736,3403.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
313,2.0,5.0,9.0,8.0,32.0,55.0,False,9.433563920090563,1697.0000000000002,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
314,2.0,18.0,25.0,13.0,40.0,75.0,False,9.99884318585288,3603.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
315,2.0,2.0,2.0,7.0,30.0,46.0,False,8.77971129020447,6108.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
316,3.0,7.0,8.0,9.0,34.0,70.0,False,9.952325334619427,1263.6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
317,2.0,10.0,25.0,9.0,29.0,54.0,False,9.61587214452889,6381.2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
318,1.0,17.0,18.0,11.0,18.0,45.0,False,9.210440366976517,7366.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
319,2.0,9.0,25.0,20.0,50.0,75.0,False,9.798182590890704,3965.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
320,2.0,1.0,6.0,20.0,40.0,65.0,False,10.200364720227393,2100.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
321,2.0,8.0,9.0,10.0,34.0,48.0,False,8.006700845440367,8731.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
