AdPrice,Adress,Center,District,Floor,Hospital,ID,Kindergarten,KitchenArea,LivingArea,Metro,OfferType,Price,Rate,Rooms,School,Street,TotalArea,TotalFloor,Walls,WaterHeatType
nan,"Довгострокова оренда квартири, 3 кім., Київ, р‑н. Голосіївський, Саперно-Слободская ул., 24",False,nan,10,False,15236842,False,13 м² ,nan,nan,від посередника  ,14 500,nan,3,False,nan,86 м² ,23,панель  ,False
nan,"Довгострокова оренда квартири, 1 кім., Київ, р‑н. Святошинський, Обуховская ул.",False,nan,7,False,15236850,False,nan,nan,nan,від посередника  ,288 952,nan,1,False,nan,27 м² ,24,панель  ,False
nan,"Довгострокова оренда квартири, 3 кім., Київ, р‑н. Дарницький, Срибнокильская ул., 8",False,nan,9,False,15096437,False,8 м² ,nan,nan,від посередника  ,13 500,nan,3,False,nan,75 м² ,14,панель  ,False
nan,"Довгострокова оренда квартири, 2 кім., Київ, р‑н. Шевченківський, Василевской Ванды ул.",False,nan,4,False,15236249,False,nan,nan,nan,від посередника  ,10 000,nan,2,False,nan,45 м² ,5,панель  ,False
немає  ,"Довгострокова оренда квартири, 1 кім., Київ, р‑н. Голосіївський, ст.м. Деміївська, Малокитаївська вулиця, буд. 31",False,nan,9,False,15236984,False,nan,nan,nan,від посередника  ,9 500,nan,1,False,nan,26 м² ,9,цегла  ,False
плата згідно з лічильниками і за опалення  ,"Довгострокова оренда квартири, 1 кім., Київ, р‑н. Соломенський, ст.м. Берестейська, Ивана Лепсе бульвар, буд. 79",False,nan,3,False,15236957,False,6.5 м² ,nan,nan,від власника  ,7 000,nan,1,False,nan,36 м² ,5,цегла  ,False
nan,"Довгострокова оренда квартири, 1 кім., Київ, р‑н. Дарницький, Григоренко Петра пр-т, 5",False,nan,1,False,15236252,False,nan,nan,nan,від посередника  ,10 000,nan,1,False,nan,46 м² ,16,панель  ,False
плата згідно з лічильниками і за опалення  ,"Довгострокова оренда квартири, 1 кім., Київ, р‑н. Печерський, ст.м. Либідська, Івана Кудрі вулиця, буд. 7",False,nan,5,False,15236820,False,8 м² ,34 м² ,nan,від власника  ,25 496,nan,1,False,nan,48 м² ,25,панель  ,False
немає  ,"Довгострокова оренда квартири, 2 кім., Київ, р‑н. Шевченківський, ст.м. Палац ""Україна"", Велика Васильківська вулиця, буд. 102",False,nan,4,False,15236996,False,14 м² ,31 м² ,nan,від посередника  ,15 000,nan,2,False,nan,52 м² ,9,цегла  ,False
nan,"Довгострокова оренда квартири, 2 кім., Київ, р‑н. Дарницький, Заречная ул., 1 quotБquot",False,nan,24,False,15096633,False,nan,nan,nan,від посередника  ,22 663,nan,2,False,nan,55 м² ,25,панель  ,False
nan,"Довгострокова оренда квартири, 1 кім., Київ, р‑н. Святошинський, Большая Окружная ул., 9",False,nan,6,False,15096627,False,nan,nan,nan,від посередника  ,11 500,nan,1,False,nan,52 м² ,10,панель  ,False
немає  ,"Довгострокова оренда квартири, 1 кім., Київ, ст.м. Теремки, Академіка Заболотного вулиця, буд. 46",False,nan,4,False,15237030,False,9 м² ,18 м² ,nan,від власника  ,8 000,nan,1,False,nan,36 м² ,16,панель  ,False
nan,"Довгострокова оренда квартири, 3 кім., Київ, р‑н. Дарницький, Горловская ул., 220",False,nan,5,False,15237063,False,21 м² ,66 м² ,nan,від посередника  ,10 000,nan,3,False,nan,93 м² ,9,панель  ,False
nan,"Довгострокова оренда квартири, 2 кім., Київ, р‑н. Дарницький, Гмыри Бориса ул., 14Б",False,nan,16,False,15237064,False,nan,nan,nan,від посередника  ,16 000,nan,2,False,nan,72 м² ,25,панель  ,False
немає  ,"Довгострокова оренда квартири, 2 кім., Київ, р‑н. Святошинський, ст.м. Академмістечко, Олевська вулиця",False,nan,8,False,15237095,False,12 м² ,30 м² ,nan,від посередника  ,9 000,nan,2,False,nan,50 м² ,22,панель  ,False
nan,"Довгострокова оренда квартири, 3 кім., Київ, р‑н. Подільський, Дегтярная ул., 9",False,nan,3,False,15237332,False,13 м² ,47 м² ,nan,від посередника  ,28 329,nan,3,False,nan,75 м² ,7,панель  ,False
немає  ,"Довгострокова оренда квартири, 3 кім., Київ, р‑н. Голосіївський, Саксаганського вулиця, буд. 37к",False,nan,13,False,15236083,False,nan,nan,nan,від посередника  ,48 159,nan,3,False,nan,70 м² ,31,цегла  ,False
немає  ,"Довгострокова оренда квартири, 3 кім., Київ, р‑н. Голосіївський, ст.м. Університет, Жилянська вулиця",False,nan,7,False,15237291,False,15 м² ,nan,nan,від представника господаря (без комісійних)  ,50 991,nan,3,False,nan,100 м² ,24,цегла  ,False
nan,"Довгострокова оренда квартири, 2 кім., Київ, р‑н. Шевченківський, Гоголевская ул., 47",False,nan,2,False,14914706,False,15 м² ,25 м² ,nan,від посередника  ,28 329,nan,2,False,nan,70 м² ,14,панель  ,False
nan,"Довгострокова оренда квартири, 1 кім., Київ, р‑н. Дарницький, Малоземельная ул., 75",False,nan,3,False,15237343,False,23 м² ,nan,nan,від посередника  ,12 000,nan,1,False,nan,53 м² ,10,панель  ,False
nan,"Довгострокова оренда квартири, 2 кім., Київ, р‑н. Шевченківський, Победы пр-т,",False,nan,7,False,15237676,False,9 м² ,nan,nan,від посередника  ,18 000,nan,2,False,nan,72 м² ,16,панель  ,False
плата згідно з лічильниками і за опалення  ,"Довгострокова оренда квартири, 2 кім., Київ, р‑н. Голосіївський, ст.м. Олімпійська, Саксаганського вулиця, буд. 33",True,nan,4,False,15237689,False,9 м² ,28 м² ,nan,від посередника  ,12 000,nan,2,False,nan,49 м² ,6,цегла  ,False
немає  ,"Довгострокова оренда квартири, 1 кім., Київ, р‑н. Святошинський, ст.м. Житомирська",False,nan,3,False,15237695,False,12 м² ,nan,nan,від власника  ,9 000,nan,1,False,nan,40 м² ,4,цегла  ,False
плата згідно з лічильниками і за опалення  ,"Довгострокова оренда квартири, 1 кім., Київ, р‑н. Подільський, Межевая",False,nan,22,False,15237712,False,9.5 м² ,nan,nan,від власника  ,10 700,nan,1,False,nan,46.5 м² ,22,монолитный железобетон  ,False
